Bureau of Justice Statistics,,,,,,,
Filename: cpus14at01.csv,,,,,,,
"Appendix table 1. Estimated number and rate of persons supervised by U.S. adult correctional systems, by correctional status and jurisdiction, 2014",,,,,,,
"Report title: Correctional Populations in the United States, 2014 NCJ 249513",,,,,,,
"Sources: Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Deaths in Custody Reporting Program, and National Prisoner Statistics program, 2014; and U.S. Census Bureau, unpublished U.S. resident population estimates within jurisdiction on January 1, 2015.",,,,,,,
"Author: Danielle Kaeble, Lauren Glaze, Anastasios Tsoutis, Todd Minton",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 12/29/2015,,,,,,,
,,,,,,,
"Appendix table 1. Estimated number and rate of persons supervised by U.S. adult correctional systems, by correctional status and jurisdiction, 2014",,,,,,,
,,Total correctional population,,Community supervision,,Incarcerated,
,Wisconsin,"97,300","2,180","64,500","1,440","34,600",770
,Wyoming,"9,700","2,180","5,900","1,330","3,800",850
"Note: Counts were rounded to the nearest 100, and rates were rounded to the nearest 10. Detail may not sum to total due to rounding and because offenders with multiple correctional statuses were excluded from totals. Counts include estimates for nonresponding jurisdictions. See Methodology. ",,,,,,,
"a/Excludes an estimated 81,700 prisoners held in local jails; 23,500 probationers in prisons; 24,600 probationers in local jails; 21,800 parolees in local jails; 11,600 parolees in prisons; and 12,900 parolees on probation. See table 6. ",,,,,,,
b/Rates were computed using estimates of the U.S. resident population of persons age 18 or older within jurisdiction.,,,,,,,
"c/Excludes an estimated 12,900 parolees on probation. See table 6.",,,,,,,
"d/Excludes an estimated 81,700 prisoners held in local jails. See table 6.",,,,,,,
"e/Total correctional population and total number in prison or local jail include local jail counts that are based on December 31, 2014, in order to produce jurisdiction-level estimates. For this reason, with the exception of appendix table 2, the totals in this table differ from the national estimates presented in other tables and figures in this report. See Methodology. ",,,,,,,
"f/Excludes about 11,900 inmates who were not held in locally operated jails but in facilities that were operated by the Federal Bureau of Prisons and functioned as jails. ",,,,,,,
"g/After 2001, responsibility for sentenced prisoners was transferred to the Federal Bureau of Prisons. Therefore, the 2005 and 2013 incarcerated populations represent inmates held in local jails.",,,,,,,
"h/Total correctional population and community supervision population estimates include misdemeanant probation cases, not individuals, supervised by private companies and may overstate the number of offenders under supervision.",,,,,,,
i/Total correctional population and community supervision population  include estimates of probationers supervised for a misdemeanor based on admissions and may overstate the number of offenders under supervision.,,,,,,,
"Sources: Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Deaths in Custody Reporting Program, and National Prisoner Statistics program, 2014; and U.S. Census Bureau, unpublished U.S. resident population estimates within jurisdiction on January 1, 2015.",,,,,,,
