Bureau of Justice Statistics,,,,,,,
Filename: cpus13at01.csv,,,,,,,
"Appendix table 1. Estimated number and rate of persons supervised by adult correctional systems, by jurisdiction and correctional status, 2013",,,,,,,
"Report title: Correctional Populations in the United States, 2013 NCJ 248479",,,,,,,
"Data Source: Bureau of Justice Statistics, Annual Surveys of Probation and Parole, Deaths in Custody Reporting Program - Annual Summary on Inmates under Jail Jurisdiction, and National Prisoner Statistics Program, 2013. The adult resident population estimates are based on unpublished U.S. adult state resident populations on January 1, 2014.",,,,,,,
"Author: Lauren E. Glaze, Danielle Kaeble",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 12/19/2014,,,,,,,
,,,,,,,
"Appendix table 1. Estimated number and rate of persons supervised by adult correctional systems, by jurisdiction and correctional status, 2013",,,,,,,
,,,,Community supervision,,Incarcerated,
,Tennessee,"122,500","2,440","77,900","1,550","48,100",960
,Texas,"711,900","3,640","508,000","2,600","221,800","1,130"
,Utah,"25,200","1,250","14,500",720,"12,500",620
,Vermont,"8,600","1,710","6,900","1,370","2,100",410
,Virginia,"114,600","1,780","55,800",870,"58,800",910
,Washington,"139,200","2,570","111,100","2,060","29,700",550
,West Virginia,"20,500","1,390","11,000",750,"9,700",660
,Wisconsin,"98,100","2,200","65,300","1,470","34,800",780
,Wyoming,"9,700","2,180","6,000","1,340","3,800",840
"Note: Counts were rounded to the nearest 100, and rates were rounded to the nearest 10. Detail may not sum to total due to rounding and because offenders with multiple correctional statuses were excluded from the totals. Counts include estimates for nonresponding jurisdictions. See Methodology.",,,,,,,
**Unknown.,,,,,,,
"a/Excludes, by jurisdiction, an estimated 85,600 prisoners held in jail, 16,700 probationers in prison, 22,400 probationers in jail, 21,800 parolees in jail, 11,800 parolees in prison, and 12,500 parolees on probation. See table 6.",,,,,,,
"b/Rates were computed using the U.S adult state resident population on January 1, 2014.",,,,,,,
"c/Excludes, by jurisdiction, an estimated 12,500 parolees on probation.",,,,,,,
"d/Excludes, by jurisdiction, an estimated 85,600 prisoners held in local jails. Local jail counts by jurisdiction are based on December 31, 2013. For this reason, the estimates in this table differ from the local jail estimates in the other tables and figures of this report. See Methodology.",,,,,,,
"e/Total correctional population and total number in prison and jail include local jail counts that are based on December 31, 2013, to produce jurisdiction-level estimates. For this reason, the estimates in this table differ from other estimates in this report. See Methodology.",,,,,,,
"f/Excludes about 11,900 inmates that were held in facilities that were operated by the Federal Bureau of Prisons and functioned as jails.",,,,,,,
"g/The Oklahoma state probation agency could not provide the December 31 probation population. The total correctional population includes an estimate of the community supervision population in Oklahoma, including an estimate of the Oklahoma state agency’s probation population. See Methodology.",,,,,,,
"Sources: Bureau of Justice Statistics, Annual Surveys of Probation and Parole, Deaths in Custody Reporting Program - Annual Summary on Inmates under Jail Jurisdiction, and National Prisoner Statistics Program, 2013. The adult resident population estimates are based on unpublished U.S. adult state resident populations on January 1, 2014.",,,,,,,
