,region,total_correctional_pop,csrp_100k_18,csrp_100k_all,parole,comsrp_100k_18,comsrp_100k_all,local_jail_prison,irp_100k_18,irp_100k_all,year,status_code
34,New Mexico,"34,200","2,170","18,700","15,500",980,,,,,2013,NM
35,New York,"228,100","1,470","151,400","81,400",530,,,,,2013,NY
36,North Carolina,"156,000","2,050","100,600","55,300",730,,,,,2013,NC
37,North Dakota,"8,100","1,430","5,500","2,700",470,,,,,2013,ND
38,Ohio,"335,500","3,750","267,400","69,800",780,,,,,2013,OH
39,Oklahoma/g,"67,700","2,320",**,"37,900","1,300",,,,,2013,
40,Oregon,"84,100","2,720","61,100","22,900",740,,,,,2013,OR
41,Pennsylvania,"355,600","3,530","275,800","85,500",850,,,,,2013,PA
42,Rhode Island,"24,600","2,930","23,400","3,400",400,,,,,2013,RI
43,South Carolina,"73,500","1,980","40,900","32,600",880,,,,,2013,SC
44,South Dakota,"14,800","2,310","9,500","5,300",820,,,,,2013,SD
45,Tennessee,"122,500","2,440","77,900","48,100",960,,,,,2013,TN
46,Texas,"711,900","3,640","508,000","221,800","1,130",,,,,2013,TX
47,Utah,"25,200","1,250","14,500","12,500",620,,,,,2013,UT
48,Vermont,"8,600","1,710","6,900","2,100",410,,,,,2013,VT
49,Virginia,"114,600","1,780","55,800","58,800",910,,,,,2013,VA
50,Washington,"139,200","2,570","111,100","29,700",550,,,,,2013,WA
51,West Virginia,"20,500","1,390","11,000","9,700",660,,,,,2013,WV
52,Wisconsin,"98,100","2,200","65,300","34,800",780,,,,,2013,WI
53,Wyoming,"9,700","2,180","6,000","3,800",840,,,,,2013,WY
0,U.S. total/e,"6,814,600","2,760","4,708,100","2,188,000",890,,,,,2014,
1,,"338,000",140,"128,400","209,600",90,,,,,2014,
2,,"6,476,600","2,630","4,579,700","1,978,300",800,,,,,2014,
3,Alabama,"104,900","2,790","61,400","45,800","1,220",,,,,2014,AL
4,Alaska,"14,600","2,650","9,300","5,300",960,,,,,2014,AK
5,Arizona,"133,600","2,590","80,700","54,800","1,060",,,,,2014,AZ
6,Arkansas,"69,100","3,050","49,300","23,100","1,020",,,,,2014,AR
7,California,"589,600","1,980","382,600","207,100",690,,,,,2014,CA
8,Colorado,"119,800","2,890","89,100","31,500",760,,,,,2014,CO
9,Connecticut,"62,300","2,200","45,600","16,600",590,,,,,2014,CT
10,Delaware,"23,300","3,170","16,300","7,000",950,,,,,2014,DE
11,District of Columbia/g,"11,900","2,180","11,400","1,600",300,,,,,2014,
12,Florida,"382,600","2,390","231,600","153,600",960,,,,,2014,FL
13,Georgia/h,"579,600","7,580","491,800","91,000","1,190",,,,,2014,
14,Hawaii,"28,300","2,540","22,500","5,900",530,,,,,2014,HI
15,Idaho/i,"48,600","4,010","37,700","11,000",910,,,,,2014,
16,Illinois,"219,000","2,210","151,800","67,200",680,,,,,2014,IL
17,Indiana,"175,200","3,480","128,100","47,100",940,,,,,2014,IN
18,Iowa,"46,500","1,940","35,500","12,700",530,,,,,2014,IA
19,Kansas,"37,400","1,710","20,400","17,000",780,,,,,2014,KS
20,Kentucky,"103,600","3,040","70,800","33,500",980,,,,,2014,KY
21,Louisiana,"113,600","3,200","70,600","49,100","1,380",,,,,2014,LA
22,Maine,"10,100",940,"6,600","4,100",380,,,,,2014,ME
23,Maryland,"109,700","2,360","91,100","31,100",670,,,,,2014,MD
24,Massachusetts,"90,300","1,680","70,200","20,300",380,,,,,2014,MA
25,Michigan,"256,700","3,330","199,000","59,400",770,,,,,2014,MI
26,Minnesota,"120,500","2,870","104,300","16,200",390,,,,,2014,MN
27,Mississippi,"69,700","3,070","44,300","25,400","1,120",,,,,2014,MS
28,Missouri,"109,500","2,340","65,800","43,700",930,,,,,2014,MO
29,Montana,"14,500","1,810","9,700","5,500",680,,,,,2014,MT
30,Nebraska,"22,500","1,580","14,000","8,500",600,,,,,2014,NE
31,Nevada,"37,500","1,710","18,000","19,600",890,,,,,2014,NV
32,New Hampshire,"11,200","1,050","6,300","4,900",460,,,,,2014,NH
33,New Jersey,"164,500","2,370","130,800","35,200",510,,,,,2014,NJ
34,New Mexico,"32,500","2,050","18,100","14,400",910,,,,,2014,NM
35,New York,"222,100","1,430","149,100","77,500",500,,,,,2014,NY
36,North Carolina,"153,600","2,000","99,300","54,300",710,,,,,2014,NC
37,North Dakota,"9,300","1,610","6,200","3,200",550,,,,,2014,ND
38,Ohio,"326,300","3,630","256,200","71,200",790,,,,,2014,OH
39,Oklahoma,"69,600","2,370","31,100","38,400","1,310",,,,,2014,OK
40,Oregon,"82,700","2,640","61,900","20,900",670,,,,,2014,OR
41,Pennsylvania,"360,800","3,570","281,400","85,200",840,,,,,2014,PA
42,Rhode Island,"25,100","2,970","24,100","3,400",400,,,,,2014,RI
43,South Carolina,"71,900","1,910","40,000","31,900",850,,,,,2014,SC
44,South Dakota,"14,500","2,240","9,400","5,100",800,,,,,2014,SD
45,Tennessee,"119,900","2,360","76,400","46,900",920,,,,,2014,TN
46,Texas,"699,300","3,490","496,900","219,100","1,090",,,,,2014,TX
47,Utah,"25,700","1,250","15,300","12,600",620,,,,,2014,UT
48,Vermont,"8,400","1,670","6,800","2,000",390,,,,,2014,VT
49,Virginia,"115,300","1,780","56,700","58,600",900,,,,,2014,VA
50,Washington,"133,000","2,420","104,000","30,900",560,,,,,2014,WA
51,West Virginia,"19,600","1,330","9,900","9,900",670,,,,,2014,WV
52,Wisconsin,"97,300","2,180","64,500","34,600",770,,,,,2014,WI
53,Wyoming,"9,700","2,180","5,900","3,800",850,,,,,2014,WY
54,,,,,,,,,,,2014,
0,,,,,,,,,,,2015,
1,U.S. total/e,"6,712,600","2,700","2,080","1,870","1,441","2,145,100",660,,,2015,
2,,"328,500",130,102,50,40,"195,700",60,,,2015,
3,,"6,384,100","2,560","1,978","1,810","1,400","1,949,400",600,,,2015,
4,Alabama,"107,500","2,850","2,210","1,710","1,330","42,900",880,,,2015,AL
5,Alaska,"13,900","2,520","1,890","1,550","1,160","5,400",730,,,2015,AK
6,Arizona,"136,300","2,600","1,980","1,590","1,210","54,900",800,,,2015,AZ
7,Arkansas,"73,200","3,210","2,450","2,260","1,720","24,000",800,,,2015,AR
8,California,"550,600","1,820","1,400","1,160",890,"201,000",510,,,2015,CA
9,Colorado,"120,000","2,830","2,180","2,100","1,620","31,800",580,,,2015,CO
10,Connecticut,"61,000","2,150","1,700","1,600","1,260","15,800",440,,,2015,CT
11,Delaware,"22,700","3,050","2,390","2,150","1,690","6,700",700,,,2015,DE
12,District of Columbia,"10,600","1,900","1,570","1,780","1,460","1,800",270,,,2015,
13,Florida,"375,800","2,300","1,840","1,380","1,100","153,000",750,,,2015,FL
14,Georgia/g,"540,000","6,960","5,260","5,820","4,400","88,500",860,,,2015,
15,Hawaii,"28,300","2,520","1,970","2,000","1,560","5,900",410,,,2015,HI
16,Idaho,"48,700","3,960","2,930","3,070","2,270","10,900",660,,,2015,ID
17,Illinois,"215,100","2,170","1,670","1,530","1,180","63,900",500,,,2015,IL
18,Indiana,"166,000","3,280","2,500","2,420","1,850","43,500",650,,,2015,IN
19,Iowa,"46,700","1,940","1,490","1,480","1,140","12,900",410,,,2015,IA
20,Kansas,"37,400","1,700","1,280",950,720,"16,600",570,,,2015,KS
21,Kentucky,"103,700","3,030","2,340","2,060","1,590","33,800",760,,,2015,KY
22,Louisiana,"114,600","3,210","2,450","2,010","1,530","49,000","1,050",,,2015,LA
23,Maine,"10,100",940,760,630,510,"4,000",300,,,2015,ME
24,Maryland,"104,500","2,240","1,740","1,870","1,450","29,700",490,,,2015,MD
25,Massachusetts,"86,900","1,600","1,270","1,230",980,"20,100",300,,,2015,MA
26,Michigan,"250,200","3,240","2,520","2,510","1,950","57,700",580,,,2015,MI
27,Minnesota,"121,600","2,880","2,210","2,490","1,910","16,500",300,,,2015,MN
28,Mississippi,"71,900","3,170","2,400","1,970","1,490","28,000",940,,,2015,MS
29,Missouri,"106,000","2,250","1,740","1,330","1,030","43,400",710,,,2015,MO
30,Montana,"14,700","1,810","1,410","1,200",940,"5,600",540,,,2015,MT
31,Nebraska,"22,300","1,560","1,170",950,720,"8,600",450,,,2015,NE
32,Nevada,"38,300","1,710","1,310",860,660,"19,100",650,,,2015,NV
33,New Hampshire,"10,900","1,020",820,590,470,"4,600",340,,,2015,NH
34,New Jersey,"183,500","2,630","2,040","2,170","1,690","33,900",380,,,2015,NJ
35,New Mexico,"25,000","1,570","1,200","1,050",800,"15,100",720,,,2015,NM
36,New York,"216,700","1,390","1,090",930,730,"75,900",380,,,2015,NY
37,North Carolina,"151,200","1,940","1,500","1,250",960,"53,800",530,,,2015,NC
38,North Dakota,"10,100","1,710","1,320","1,180",910,"3,200",410,,,2015,ND
39,Ohio,"331,500","3,680","2,850","2,910","2,250","70,700",610,,,2015,OH
40,Oklahoma/g,"73,100","2,460","1,860","1,130",850,"39,700","1,010",,,2015,
41,Oregon,"82,900","2,600","2,040","1,940","1,530","21,000",520,,,2015,OR
42,Pennsylvania,"374,200","3,690","2,920","2,920","2,310","83,900",650,,,2015,PA
43,Rhode Island,"25,300","2,990","2,390","2,870","2,300","3,200",310,,,2015,RI
44,South Carolina,"70,100","1,830","1,420","1,010",780,"31,600",640,,,2015,SC
45,South Dakota,"15,000","2,310","1,740","1,500","1,130","5,300",620,,,2015,SD
46,Tennessee,"119,900","2,340","1,810","1,470","1,140","48,000",720,,,2015,TN
47,Texas,"687,300","3,360","2,480","2,390","1,760","214,800",780,,,2015,TX
48,Utah,"25,500","1,210",840,750,520,"11,700",390,,,2015,UT
49,Vermont,"8,000","1,580","1,280","1,240","1,000","1,800",280,,,2015,VT
50,Virginia,"114,400","1,750","1,360",870,680,"57,300",680,,,2015,VA
51,Washington,"130,600","2,330","1,810","1,870","1,450","29,700",410,,,2015,WA
52,West Virginia,"20,100","1,370","1,090",690,550,"10,100",550,,,2015,WV
53,Wisconsin,"100,600","2,240","1,740","1,460","1,130","35,000",610,,,2015,WI
0,U.S. total/e,"6,582,100","2,630","2,030","4,537,100","1,810","1,400","2,131,000",850,660.0,2016,
1,,"320,000",130,100,"131,700",50,40,"188,400",80,60.0,2016,
2,,"6,262,000","2,500","1,930","4,405,400","1,760","1,360","1,942,600",780,600.0,2016,
3,Alabama,"99,800","2,640","2,050","60,700","1,610","1,250","40,900","1,080",840.0,2016,AL
4,Alaska,"12,900","2,320","1,730","8,400","1,520","1,140","4,400",800,600.0,2016,AK
5,Arizona,"137,500","2,570","1,970","84,800","1,590","1,220","55,000","1,030",790.0,2016,AZ
6,Arkansas,"72,100","3,150","2,410","51,500","2,250","1,720","24,000","1,050",800.0,2016,AR
7,California,"536,100","1,770","1,360","333,300","1,100",850,"202,700",670,510.0,2016,CA
8,Colorado,"121,900","2,820","2,180","90,900","2,110","1,630","32,100",740,580.0,2016,CO
9,Connecticut,"59,600","2,110","1,670","44,700","1,580","1,250","15,000",530,420.0,2016,CT
10,Delaware,"22,400","2,980","2,340","15,800","2,100","1,650","6,600",880,690.0,2016,DE
11,District of Columbia,"10,400","1,840","1,510","9,600","1,710","1,400","1,800",320,270.0,2016,
12,Florida,"366,000","2,200","1,760","218,600","1,320","1,050","149,800",900,720.0,2016,FL
13,Georgia/g, .. , .. , .. , .. , .. , .. ,"91,400","1,160",880.0,2016,
14,Hawaii,"27,500","2,450","1,920","21,900","1,950","1,530","5,600",500,390.0,2016,HI
15,Idaho,"48,800","3,880","2,870","37,500","2,980","2,210","11,300",900,670.0,2016,ID
16,Illinois,"204,200","2,070","1,600","143,400","1,450","1,120","60,800",620,480.0,2016,IL
17,Indiana,"159,900","3,150","2,400","116,700","2,300","1,760","43,200",850,650.0,2016,IN
18,Iowa,"46,700","1,940","1,490","35,100","1,460","1,120","13,400",560,430.0,2016,IA
19,Kansas,"38,500","1,750","1,320","21,500",980,740,"17,200",780,590.0,2016,KS
20,Kentucky,"97,900","2,850","2,200","63,800","1,860","1,440","34,700","1,010",780.0,2016,KY
21,Louisiana,"111,000","3,110","2,370","71,000","1,980","1,510","45,400","1,270",970.0,2016,LA
22,Maine,"10,300",960,780,"6,800",630,510,"4,100",380,300.0,2016,ME
23,Maryland,"99,000","2,120","1,640","82,800","1,770","1,370","28,400",610,470.0,2016,MD
24,Massachusetts,"82,900","1,520","1,210","63,600","1,170",930,"19,400",360,280.0,2016,MA
25,Michigan, .. , .. , .. , .. , .. , .. ,"56,500",730,570.0,2016,MI
26,Minnesota,"119,500","2,810","2,160","103,900","2,450","1,880","16,300",380,290.0,2016,MN
27,Mississippi,"65,300","2,880","2,180","37,700","1,660","1,260","28,700","1,260",960.0,2016,MS
28,Missouri,"105,900","2,240","1,730","61,600","1,300","1,010","44,300",940,730.0,2016,MO
29,Montana,"15,200","1,860","1,460","10,200","1,250",970,"5,700",700,550.0,2016,MT
30,Nebraska,"23,300","1,620","1,220","14,600","1,010",760,"8,800",610,460.0,2016,NE
31,Nevada,"39,200","1,720","1,320","19,000",830,640,"20,200",890,680.0,2016,NV
32,New Hampshire,"10,800","1,010",810,"6,400",590,480,"4,500",410,330.0,2016,NH
33,New Jersey,"186,300","2,670","2,080","155,700","2,230","1,740","32,000",460,360.0,2016,NJ
34,New Mexico,"30,200","1,900","1,450","15,500",970,740,"14,700",930,710.0,2016,NM
35,New York,"212,100","1,360","1,070","142,400",910,720,"74,400",480,380.0,2016,NY
36,North Carolina,"149,300","1,890","1,460","95,200","1,210",930,"54,100",680,530.0,2016,NC
37,North Dakota,"10,300","1,770","1,350","7,100","1,230",940,"3,100",540,410.0,2016,ND
38,Ohio,"326,200","3,620","2,810","256,400","2,840","2,200","71,000",790,610.0,2016,OH
39,Oklahoma/g,"74,500","2,510","1,890","35,500","1,190",900,"39,000","1,310",990.0,2016,
40,Oregon,"82,000","2,520","1,990","61,400","1,890","1,490","20,700",640,500.0,2016,OR
41,Pennsylvania,"368,100","3,640","2,880","291,600","2,880","2,280","82,400",810,640.0,2016,PA
42,Rhode Island,"24,300","2,850","2,290","23,200","2,730","2,200","3,100",370,290.0,2016,RI
43,South Carolina,"68,800","1,770","1,380","36,700",940,740,"32,100",820,640.0,2016,SC
44,South Dakota,"15,000","2,290","1,720","9,300","1,420","1,070","5,800",880,670.0,2016,SD
45,Tennessee,"119,400","2,310","1,790","74,700","1,440","1,120","48,400",930,720.0,2016,TN
46,Texas,"681,900","3,290","2,430","482,900","2,330","1,720","218,500","1,050",780.0,2016,TX
47,Utah,"25,400","1,180",820,"15,900",740,520,"11,700",540,380.0,2016,UT
48,Vermont,"7,400","1,450","1,180","5,800","1,150",940,"1,700",340,280.0,2016,VT
49,Virginia,"120,000","1,830","1,420","62,500",950,740,"57,500",880,680.0,2016,VA
50,Washington,"127,000","2,230","1,730","100,600","1,760","1,370","30,400",530,410.0,2016,WA
51,West Virginia,"20,100","1,380","1,100","10,100",690,550,"10,100",690,550.0,2016,WV
52,Wisconsin,"100,500","2,230","1,740","64,900","1,440","1,120","35,600",790,620.0,2016,WI
53,Wyoming,"9,400","2,100","1,600","5,500","1,230",940,"3,900",870,660.0,2016,WY
